영화명,감독,제작국가,개봉일,장르,누적관객수,누적매출액,예측_누적관객수,평점
태양의 노래,조영준,한국,2025-06-11,드라마,17303.0,154562000.0,83408.766,7
좀비딸,필감성,한국,2025-07-30,코미디,29892.0,292157900.0,110390.82,7
바이러스,강이관,한국,2025-05-07,드라마,71790.0,643194660.0,92898.09,8
우리 둘 사이에,성지혜,한국,2025-07-30,드라마,,,179187.52,7
엣 더 벤치,오쿠야마 요시유키,일본,2025-07-30,드라마,,,179187.52,7
배드 가이즈 2,피에르 페리펠,미국,2025-07-30,애니메이션,,,263270.38,9
방탄소년단 아미: 포에버 위 아 영,,미국,2025-07-30,다큐멘터리,,,174945.58,5
반 고흐. 밀밭과 구름 낀 하늘,,이탈리아,2025-07-30,다큐멘터리,,,174945.58,8
고고다이노 극장판: 게코도마뱀의 꿈,이원재,한국,2025-07-30,애니메이션,,,263270.38,7
젖 큰 자매 수상한 형제,,한국,2025-07-03,드라마,,,66871.516,6
메가 킹,,미국,2025-07-03,액션,,,215005.47,3
왓 리메인즈,나단 스코긴스,미국,2025-07-01,범죄,,,375568.1,7
남친보다 부장님이 좋아요 무삭제판,킨피카하누케마루,일본,2025-07-29,드라마,,,381535.2,7
어른이 된 여동생 무삭제판,사토 이노스케,일본,2025-07-29,드라마,,,381535.2,7
플로우,긴츠 질발로디스,기타,2025-03-19,애니메이션,166713.0,1596552380.0,288984.8,9
전지적 독자 시점,김병우,한국,2025-07-23,판타지,627867.0,6300140580.0,912215.6,7
꼬마마법사 주니토니,서동해,한국,2025-07-26,애니메이션,,,308096.2,7
더 킬러스,"김종관, 노덕, 장항준, 이명세",한국,2024-10-23,드라마,,,65532.17,7
판타스틱 4: 새로운 출발,맷 샤크먼,미국,2025-07-24,액션,342389.0,3812345970.0,599228.4,8
슬리핑 독스,,미국,2025-07-24,스릴러,,,73815.914,9
베베핀 극장판: 사라진 베베핀과 핑크퐁 대모험,변희선,한국,2025-07-24,애니메이션,69127.0,655299080.0,236122.48,7
레이턴시,,"미국,태국",2025-07-24,액션,,,215005.47,4
